qsize 7, out_qsize 0
2016-06-15 15:41:49,286: INFO: PROGRESS: at 96.60% examples, 258712 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:50,317: INFO: PROGRESS: at 96.65% examples, 258715 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:51,377: INFO: PROGRESS: at 96.70% examples, 258714 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:52,425: INFO: PROGRESS: at 96.75% examples, 258712 words/s, in_qsize 8, out_qsize 1
2016-06-15 15:41:53,426: INFO: PROGRESS: at 96.80% examples, 258728 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:54,495: INFO: PROGRESS: at 96.85% examples, 258729 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:55,518: INFO: PROGRESS: at 96.91% examples, 258729 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:56,552: INFO: PROGRESS: at 96.96% examples, 258730 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:57,595: INFO: PROGRESS: at 97.02% examples, 258732 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:41:58,607: INFO: PROGRESS: at 97.06% examples, 258733 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:41:59,637: INFO: PROGRESS: at 97.11% examples, 258733 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:00,628: INFO: PROGRESS: at 97.17% examples, 258730 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:01,676: INFO: PROGRESS: at 97.22% examples, 258740 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:02,696: INFO: PROGRESS: at 97.26% examples, 258737 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:03,706: INFO: PROGRESS: at 97.31% examples, 258738 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:04,733: INFO: PROGRESS: at 97.37% examples, 258743 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:05,753: INFO: PROGRESS: at 97.42% examples, 258743 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:06,757: INFO: PROGRESS: at 97.47% examples, 258747 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:07,761: INFO: PROGRESS: at 97.52% examples, 258746 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:08,766: INFO: PROGRESS: at 97.57% examples, 258746 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:09,779: INFO: PROGRESS: at 97.62% examples, 258750 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:10,784: INFO: PROGRESS: at 97.66% examples, 258749 words/s, in_qsize 7, out_qsize 1
2016-06-15 15:42:11,799: INFO: PROGRESS: at 97.71% examples, 258751 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:12,835: INFO: PROGRESS: at 97.76% examples, 258752 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:13,888: INFO: PROGRESS: at 97.80% examples, 258753 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:14,922: INFO: PROGRESS: at 97.85% examples, 258757 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:15,927: INFO: PROGRESS: at 97.90% examples, 258757 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:16,945: INFO: PROGRESS: at 97.95% examples, 258757 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:17,975: INFO: PROGRESS: at 97.99% examples, 258759 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:19,022: INFO: PROGRESS: at 98.04% examples, 258757 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:20,040: INFO: PROGRESS: at 98.09% examples, 258763 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:21,068: INFO: PROGRESS: at 98.14% examples, 258763 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:22,097: INFO: PROGRESS: at 98.19% examples, 258779 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:23,117: INFO: PROGRESS: at 98.23% examples, 258774 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:24,122: INFO: PROGRESS: at 98.29% examples, 258781 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:25,153: INFO: PROGRESS: at 98.34% examples, 258781 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:26,175: INFO: PROGRESS: at 98.39% examples, 258783 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:27,200: INFO: PROGRESS: at 98.44% examples, 258783 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:28,276: INFO: PROGRESS: at 98.50% examples, 258783 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:29,301: INFO: PROGRESS: at 98.55% examples, 258786 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:30,325: INFO: PROGRESS: at 98.59% examples, 258785 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:31,374: INFO: PROGRESS: at 98.64% examples, 258785 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:32,395: INFO: PROGRESS: at 98.70% examples, 258788 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:33,394: INFO: PROGRESS: at 98.74% examples, 258786 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:34,425: INFO: PROGRESS: at 98.79% examples, 258787 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:35,444: INFO: PROGRESS: at 98.84% examples, 258799 words/s, in_qsize 8, out_qsize 1
2016-06-15 15:42:36,494: INFO: PROGRESS: at 98.88% examples, 258800 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:37,509: INFO: PROGRESS: at 98.94% examples, 258803 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:38,540: INFO: PROGRESS: at 98.98% examples, 258804 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:39,575: INFO: PROGRESS: at 99.03% examples, 258807 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:40,581: INFO: PROGRESS: at 99.08% examples, 258807 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:41,603: INFO: PROGRESS: at 99.13% examples, 258806 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:42,611: INFO: PROGRESS: at 99.19% examples, 258810 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:43,651: INFO: PROGRESS: at 99.25% examples, 258806 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:44,676: INFO: PROGRESS: at 99.30% examples, 258811 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:45,687: INFO: PROGRESS: at 99.35% examples, 258811 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:42:46,732: INFO: PROGRESS: at 99.40% examples, 258811 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:47,744: INFO: PROGRESS: at 99.45% examples, 258812 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:42:48,782: INFO: PROGRESS: at 99.50% examples, 258828 words/s, in_qsize 7, out_qsize 0
